Lesson_ID,Grade,Lesson_Letter,Deity_Name,Geometric_Concept,Math_Standard,Artifact_Type,Measurement_Focus,Myth_Theme,Activity_Medium,Canva_Color_Scheme,Estimated_Images
G3-1A,3,A,Shamash,Circles,Perimeter and Area,Sun disk seals,Radius and diameter,Divine perfection,Compass and paper,Gold and orange,45
G3-1B,3,B,Sin,Crescents,Curves and Arcs,Moon god imagery,Arc measurement,Cycles of time,String and cardboard,Silver and blue,42
G3-2A,3,A,Ishtar,8-pointed stars,Symmetry,Star seals and reliefs,Rotational symmetry,Love and war duality,Paper folding,Red and gold,48
G3-2B,3,B,Adad,Lightning zigzags,Lines and angles,Storm god reliefs,Acute angles,Power and chaos,Ruler and protractor,Blue and white,40
G3-3A,3,A,Marduk,Square temple bases,Rectangles,Temple foundations,Right angles,Order from chaos,Clay modeling,Blue and gold,46
G3-3B,3,B,Nabu,Wedge shapes,Triangles,Cuneiform tablets,Triangle classification,Writing and wisdom,Stylus and clay,Brown and beige,44
G3-4A,3,A,Ea/Enki,Wave patterns,Repeating patterns,Water vessel designs,Pattern identification,Wisdom and creation,Stamp making,Teal and green,43
G3-4B,3,B,Ninhursag,Mountain triangles,Triangles,Mountain reliefs,Base and height,Earth mother,Paper construction,Brown and green,41
G3-5A,3,A,Nergal,Flame patterns,Irregular shapes,Underworld imagery,Area estimation,Death and rebirth,Torn paper collage,Red and black,39
G3-5B,3,B,Ereshkigal,Gateway rectangles,Rectangles,Gateway reliefs,Perimeter,Underworld queen,Box construction,Black and purple,42
G3-6A,3,A,Dumuzi,Plant spirals,Spirals,Fertility symbols,Curve tracing,Seasonal cycles,String art,Green and brown,40
G3-6B,3,B,Gula,Healing circles,Concentric circles,Medical symbols,Circle relationships,Healing goddess,Nested shapes,Green and white,44
G3-7A,3,A,Nisaba,Grid patterns,Grids and arrays,Grain storage,Multiplication arrays,Agriculture and writing,Graph paper,Yellow and brown,38
G3-7B,3,B,Anu,Sky vault,Hemispheres,Dome architecture,Half-circle area,Supreme sky god,Paper dome,Light blue and white,41
G3-8A,3,A,Enlil,Wind spirals,Spirals,Storm imagery,Spiral measurement,Lord of wind,Spiral drawing,Gray and white,43
