Grade,Week,Deity,Element,Artifact_Category,Artifact_Name,Artifact_Description,Educational_Function,Safety_Level,Storage_Requirements
3,1,Shamash,Circle,STEM_History,Shamash Sun Disk Symbols,Large drawing of Shamash's sun symbol with rays and ancient Mesopotamian circular representations,Help students understand historical and cultural significance of circular symbolism,Safe,Display Board
3,1,Shamash,Circle,STEM_History,Timeline Materials - Wheel Development,Timeline pictures showing wheel development from 5500 years ago to present,Demonstrate how circular innovations spread from Mesopotamia globally,Safe,File Storage
3,1,Shamash,Circle,STEM_History,Cross-Cultural Circular Examples,World map and examples of circular tools from Egypt Europe Asia,Show how Mesopotamian circular innovations influenced global technology,Safe,Map Storage
3,1,Shamash,Circle,STEM_History,Modern Circular Technology Examples,Collection of modern circular objects with clear purposes,Help students connect ancient wisdom to contemporary applications,Safe,Display Case
3,1,Shamash,Circle,Invention_Materials,Circle Construction Tools,Simple compasses string-and-pencil setup rulers protractors,Enable students to construct circles and discover geometric properties,Supervised,Tool Cabinet
3,1,Shamash,Circle,Invention_Materials,Structural Testing Materials,Paper tape books for weight testing various circular objects,Allow students to test why circular structures are stronger,Safe,Activity Bins
3,1,Shamash,Circle,Invention_Materials,Layout Planning Supplies,Small objects graph paper measuring tools for arrangement testing,Help students experiment with circular vs other spatial arrangements,Safe,Math Supplies
3,1,Shamash,Circle,Invention_Materials,Technology Comparison Examples,Technological devices showing circular component advantages,Demonstrate how engineers choose circular shapes for specific applications,Display Only,Secure Display
3,1,Shamash,Circle,Project_Objects,Measurement Manipulatives,Various sized circular objects plates lids coins for investigation,Provide hands-on materials for discovering circle properties,Safe,Manipulative Bins
3,1,Shamash,Circle,Project_Objects,Art Construction Supplies,Drawing paper crayons string tape markers cardboard,Enable students to design and test circular solutions to problems,Safe,Art Cabinet
3,1,Shamash,Circle,Project_Objects,Calculation Support Tools,Calculators data recording sheets problem-solving strategy posters,Support mathematical exploration and pattern recognition,Safe,Math Resources
3,1,Shamash,Circle,Project_Objects,Innovation Building Materials,Small building materials blocks testing equipment,Allow students to create and test their own circular design innovations,Safe,Building Center
3,2,Sin,Crescent,STEM_History,Sin Moon Symbols and Calendars,Moon phase charts showing crescent growth and ancient Sin representations,Demonstrate gradual change and patience in natural cycles,Safe,Display Board
3,2,Sin,Crescent,STEM_History,Curved Tool Development Timeline,Pictures of ancient sickles curved boats arched buildings evolution,Show progression from straight to curved cutting tool innovations,Safe,File Storage
3,2,Sin,Crescent,STEM_History,Cross-Cultural Curved Architecture,Maps showing spread of arch and dome technologies across cultures,Demonstrate global adoption of curved architectural principles,Safe,Map Storage
3,2,Sin,Crescent,Invention_Materials,Crescent Construction Tools,Paper circles crescents string measuring tools simple protractors,Enable students to create and analyze curved shapes,Safe,Tool Cabinet
3,2,Sin,Crescent,Invention_Materials,Curved Structure Testing,Paper tape for bridges toy cars for testing play dough,Allow testing of curved vs straight structural strength,Safe,Activity Bins
3,2,Sin,Crescent,Invention_Materials,Flow Testing Supplies,Cardboard tape water containers marbles for movement experiments,Test curved channel flow effectiveness,Supervised,Water Activity Area
3,2,Sin,Crescent,Invention_Materials,Curved vs Angular Comparisons,Various curved and angular tools safety examples,Demonstrate curved edge benefits and safety considerations,Safe,Comparison Display
3,2,Sin,Crescent,Project_Objects,Curve Exploration Manipulatives,Bowls curved containers string rulers measuring tools,Provide hands-on curve analysis materials,Safe,Manipulative Bins
3,2,Sin,Crescent,Project_Objects,Curved Design Art Supplies,Drawing materials cardboard tape containers for curved systems,Enable creation of curved architectural models and designs,Safe,Art Cabinet
3,2,Sin,Crescent,Project_Objects,Water Flow Testing Materials,Safe water containers pouring equipment curved channel builders,Support flow experiments and curved system testing,Supervised,Water Storage
3,3,Ishtar,8_Point_Star,STEM_History,Ishtar Star Symbols,8-pointed star symbols and ancient Mesopotamian star art,Understanding complexity and multiple qualities as valuable,Safe,Display Board
3,3,Ishtar,8_Point_Star,STEM_History,Star Navigation Timeline,Timeline materials showing compass development across cultures,Demonstrate evolution of 8-point navigation systems,Safe,File Storage
3,3,Ishtar,8_Point_Star,STEM_History,Cross-Cultural 8-Point Systems,Examples of 8-point organizational systems worldwide,Show global adoption of 8-point organizational principles,Safe,Map Storage
3,3,Ishtar,8_Point_Star,Invention_Materials,Star Construction Tools,8-pointed star templates angle measurement tools protractors,Enable construction of symmetrical 8-point stars,Safe,Tool Cabinet
3,3,Ishtar,8_Point_Star,Invention_Materials,Rotational Symmetry Testing,Materials for testing star pattern stability and rotation,Test rotational symmetry properties of star patterns,Safe,Activity Bins
3,3,Ishtar,8_Point_Star,Invention_Materials,Navigation Activity Supplies,Compass roses directional materials for exploration activities,Support 8-direction navigation and orientation activities,Safe,Activity Storage
3,3,Ishtar,8_Point_Star,Invention_Materials,Organizational Pattern Comparisons,Examples comparing star vs other organizational patterns,Demonstrate advantages of 8-point organizational systems,Safe,Comparison Display
3,3,Ishtar,8_Point_Star,Project_Objects,Star Creation Manipulatives,Paper star templates rotation testing materials,Provide hands-on star exploration and rotation testing,Safe,Manipulative Bins
3,3,Ishtar,8_Point_Star,Project_Objects,8-Point Design Art Supplies,Art construction supplies for 8-point design challenges,Enable creation of complex organizational design solutions,Safe,Art Cabinet
3,3,Ishtar,8_Point_Star,Project_Objects,Fair Distribution Planning,Organizational planning materials for distribution systems,Support fair distribution system design and testing,Safe,Planning Materials
3,3,Ishtar,8_Point_Star,Project_Objects,Complex System Innovation Materials,Innovation project materials for working with complex systems,Allow creation of sophisticated organizational solutions,Safe,Innovation Center
3,4,Adad,Lightning_Bolt,STEM_History,Adad Lightning Symbols,Lightning bolt symbols and ancient storm god artwork,Understanding force concentration and sudden change power,Safe,Display Board
3,4,Adad,Lightning_Bolt,STEM_History,Sharp Tool Development Timeline,Timeline from stone tools to metal showing sharp angle evolution,Demonstrate progression of sharp angle tool innovation,Safe,File Storage
3,4,Adad,Lightning_Bolt,STEM_History,Cross-Cultural Sharp Innovations,Examples of sharp angle tool innovations across cultures,Show global adoption of sharp angle tool principles,Safe,Map Storage
3,4,Adad,Lightning_Bolt,Invention_Materials,Sharp Angle Construction Tools,Angle measurement tools for acute angle construction,Enable construction of lightning bolt and sharp angle shapes,Supervised,Tool Cabinet
3,4,Adad,Lightning_Bolt,Invention_Materials,Force Concentration Testing,Materials for testing cutting effectiveness and force concentration,Test how sharp angles concentrate force more effectively,Supervised,Activity Bins
3,4,Adad,Lightning_Bolt,Invention_Materials,Structural Connection Supplies,Building supplies for sharp angle structural connections,Explore how sharp angles create strong structural joints,Safe,Building Storage
3,4,Adad,Lightning_Bolt,Invention_Materials,Sharp vs Dull Comparisons,Examples demonstrating sharp vs dull tool effectiveness,Show advantages of sharp angle tools with safety emphasis,Demonstration Only,Secure Display
3,4,Adad,Lightning_Bolt,Project_Objects,Angle Exploration Manipulatives,Classroom manipulatives for angle exploration and tool testing,Provide hands-on acute angle exploration materials,Safe,Manipulative Bins
3,4,Adad,Lightning_Bolt,Project_Objects,Sharp Angle Design Supplies,Art construction supplies for sharp angle design challenges,Enable creation of efficient sharp angle solutions,Safe,Art Cabinet
3,4,Adad,Lightning_Bolt,Project_Objects,Safe Experimental Materials,Safe cutting and building materials for hands-on experiments,Support force concentration experiments with safety emphasis,Supervised,Activity Storage
3,4,Adad,Lightning_Bolt,Project_Objects,Efficiency Innovation Materials,Innovation materials for efficiency principle projects,Allow creation of sharp angle efficiency solutions,Safe,Innovation Center
3,5,Marduk,Spade,STEM_History,Marduk Spade Symbols,Spade symbols and ancient Mesopotamian organizational art,Understanding systematic organization and space efficiency,Safe,Display Board
3,5,Marduk,Spade,STEM_History,Agricultural Organization Timeline,Timeline showing agricultural organization development,Demonstrate evolution of systematic agricultural planning,Safe,File Storage
3,5,Marduk,Spade,STEM_History,Cross-Cultural Organization Examples,Examples of systematic organization innovations worldwide,Show global adoption of organizational principles,Safe,Map Storage
3,5,Marduk,Spade,Invention_Materials,Spade Construction Tools,Rectangular measurement tools for spade construction,Enable construction of effective organizational tools,Safe,Tool Cabinet
