LessonId,Grade,Week,MathConcept,GeometricConcept,MathThinking,ArtisticThinking,Civilization,Artifacts
G3-1,3,1,Place value compare/order,Circle partitions; equal grouping,360°/n idea; count-by groups,Petal composition; color symmetry,Prehistoric,"Newgrange triple spiral, Chauvet handprints"
G3-2,3,1,Rounding,Nearest ring/sector,Thresholds to nearest multiple,Rosette ring design,Egypt,Karnak lotus capitals
G3-3,3,2,Multiplication arrays,Tessellation tiles,m×n tiling; area as count,Stamp borders,Greece,Amphora meander borders
G3-4,3,2,Division/fair shares,Radial equal shares,Unit fraction of circle,Festival rosette,Mesopotamia,Rosette cylinder seals
G3-5,3,3,Shapes and perimeter,Frieze borders,Perimeter along rule path,Meander border variations,Rome,Roman mosaic bands
G3-6,3,3,Area of rectangles intro,Grid fields,Area via unit squares,Quilt/tapa layouts,Polynesia,Polynesian tapa panels
G3-7,3,4,Data displays,Radial charts,Bar to sector mapping,Calendar flower,Aztec,Aztec Sun Stone outer rings
G3-8,3,4,Measurement length,Radius/diameter intuition,d≈2r,Rosette ruler design,Mesopotamia,Shamash sun disks
G3-9,3,5,Review + project,Compose a myth rosette,Angles add to 360° idea,Symbol collage,Student-created,Student-authored symbols
G3-10,3,5,Compare/order spiral,Spiral growth steps,Turns per ring,Spiral storyboard,Celtic,Māori koru; Celtic triskele
G3-11,3,6,Rounding revisited,Nearest gridline,Number line to grid,Border alignment,Egypt,Egyptian canon grids
G3-12,3,6,Arrays to area,Tile counts,n×m proofs,Mosaic design,Rome,Roman tesserae
G3-13,3,7,Equal shares,Quatrefoil 4 shares,Quartering circle,Four-petal medallion,Gothic,Gothic quatrefoils
G3-14,3,7,Line plots,Frieze translation,Step unit,Chevron bands,Andean,Andean chevrons; Kente
G3-15,3,8,Problem solving,Rule-based patterns,If-then steps,Meander algorithms,Greece,Greek key libraries
G3-16,3,8,Measurement time,Circle clock,Angle per hour,Sun path dial,Egypt,Egyptian shadow clocks
G3-17,3,9,Review,Decompose/compose,From shapes to sums,Portfolio curation,Cross-cultural,Comparative cultures board
G3-18,3,9,Assessment + gallery,Explain rules,Math talk,Artist talk,Cross-cultural,Student portfolios
G4-1,4,1,Place value millions,Coordinate grids,Axes scaling,Plan drawings,Egypt,Temple axes; gridded figures
G4-2,4,1,Compare/order,Symmetry ranking,More/less symmetry,Design choices,Greece,Greek architectural orders
G4-3,4,2,Model fractions/decimals,Sector partitions,n/360 mapping,Color balance,Byzantine,Cross-in-square; rose windows
G4-4,4,2,Represent decimals,Ring thickness spec,Tenths/hundredths,Glass-to-stone ratio,Gothic,Gothic tracery bills
G4-5,4,3,Rounding/estimation,Nearest chord,Approx degrees,Layout marks,Gothic,Cathedral mason's marks
G4-6,4,3,Problem-solving plan,Construction algorithms,Sequence steps,Builder's sketch,Greece,Ionic volute construction
G4-7,4,4,Measurement,Arch spans/rise,Radius/segment,Profile aesthetics,Rome,Roman arch sections; Pantheon
G4-8,4,4,Fractions to decimals,Foils/tracery,Chord geometry,Lobed composition,Gothic,Quatrefoil from circles
G4-9,4,5,Review + mini project,Light path maps,Angle of segments,Glass color plan,Gothic,Rose window spec sheet
G4-10,4,5,Decimals in measures,Lattice apertures,Percent open area,Pattern rhythm,China,Chinese lattice families
G4-11,4,6,Place value refinement,Module sizes,Unit to whole,Panel repeats,Islamic,Zellige modular stars
G4-12,4,6,Comparisons,Wallpaper groups,Classify symmetry,Style dialects,Islamic,Islamic tiling walls
G4-13,4,7,Fractions applications,Rib networks,Triangulation,Vault aesthetics,Gothic,Gothic rib vault diagrams
G4-14,4,7,Decimals applications,Scale drawings,Ratios in plan,Façade layout,Byzantine,Roman/Byzantine plans
G4-15,4,8,Measurement review,Chord vs arc,Approx arcs,Profile tuning,Gothic,Pointed arch types
G4-16,4,8,Problem solving,Sequenced builds,Checkpoints,Shop drawings,Greece,Volute to tracery sequence
G4-17,4,9,Review,Cross-culture compare,Common rules,Motif voice,Cross-cultural,Gallery map boards
G4-18,4,9,Assessment,Explain designs,Proof by construct,Artist statement,Cross-cultural,Student presentations
G5-1,5,1,Ratios,r:d and ring ratios,d=2r; ring area,Rosette spec,Mesopotamia,Shamash disks; ring calculations
G5-2,5,1,Equivalent ratios tables,Tessellation repeats,Scale tile counts,Pattern tiling,Islamic,Zellige 8/10-point modules
G5-3,5,2,Graphs of equivalent ratios,Star polygons {n/k},Angle graphs,Star families,Islamic,Topkapi scroll constructions
G5-4,5,2,Compare ratio relationships,Strip permutations,Permute orders,Kente rhythm,West African,Adinkra + Kente analysis
G5-5,5,3,Solve ratio problems,Muqarnas tiers,Tier scaling,Cell rhythm,Islamic,Muqarnas honeycomb vaults
G5-6,5,3,Unit rates,Voronoi density,Seeds per area,Shading balance,Contemporary,Voronoi façades/screens
G5-7,5,4,Conversions customary,Scale transfer,Dimensional analysis,Artifact reproduction,Mesoamerican,Pantheon scaled rings; pyramids
G5-8,5,4,Rates problems,Spiral sweep rate,θ per time,Arc pacing,Art Nouveau,Spiral volutes; whiplash curves
G5-9,5,5,Project synthesis,Hybrid revival,Parameter tables,Design brief,Contemporary,Star + Voronoi + rosette
G5-10,5,5,Review ratios,Equal-area rings,π-free proportional,Visual balance,Rome,Pantheon coffer analysis
G5-11,5,6,Tables revisit,Wallpaper densities,Repeats/unit,Texture feel,Cross-cultural,Roman vs Islamic tiling
G5-12,5,6,Graphs revisit,Chord families,y vs θ plots,Arches gallery,Cross-cultural,Arch type comparison
G5-13,5,7,Solve ratio sets,Calendar sectors,Angle allocation,Glyph design,Mesoamerican,Aztec/Maya radial calendars
G5-14,5,7,Unit rates apps,Lattice aperture,% open,Screen mood,China,Chinese lattice airflow design
G5-15,5,8,Conversions apps,Module scaling,mm to in,Craft transfer,West African,Kente strip scaled mockups
G5-16,5,8,Rates apps,Spiral parameters,a b k in r(θ),Whiplash stylization,Art Nouveau,Art Nouveau curves
G5-17,5,9,Review,Explain parameters,Tables/graphs,Style statement,Cross-cultural,Design logbooks
G5-18,5,9,Assessment,Cross-era compare,Generalize rules,Curate series,Cross-cultural,Exhibition with notes
