Week,Artifact_Name,Category,Quantity,Source,Notes
1,Ancient Mesopotamian sun disk symbols,STEM History,Multiple image sets,Archaeological museums,Focus on equal rays from center
1,Code of Hammurabi replica,STEM History,1 replica,Museum reproductions,Handle replica carefully
1,Divine symbols comparison,STEM History,Image collection,Anthropological resources,Emphasize geometric patterns
1,Cuneiform mathematical tablets,STEM History,Replica set,Educational archaeology suppliers,Focus on circle geometry
1,Compasses,Invention-Related,25-30,Educational supplies,Supervise compass points
1,Rulers,Invention-Related,25-30,Educational supplies,Metric and imperial helpful
1,String for construction,Invention-Related,Several 10-foot lengths,Hardware store,Non-stretch preferred
1,Circular objects for measurement,Invention-Related,2-3 per group,Household items,Clean and safe to handle
1,Graph paper,General Project,Multiple sheets per student,Educational supplies,1cm grid recommended
1,Measuring tape,General Project,2-3 tapes,Hardware store,25-foot minimum length
1,Masking tape for layouts,General Project,2-3 rolls,Office supplies,Easily removable
1,Timers,General Project,1-2 timers,Educational supplies,Digital preferred
1,Scientific calculators,General Project,8-10,Educational supplies,Basic functions sufficient
1,Comparison images,General Project,Image collection,Internet resources,Print in color
1,Failed square wheel examples,General Project,1-2 video clips,Educational channels,Appropriate length
1,Modern circular engineering,General Project,Image collection,Engineering websites,Local examples effective
1,Cardboard shapes for testing,General Project,3-4 sets each,Cut from boxes,Smooth edges
1,Weights for testing,General Project,5-10 books,Classroom materials,Student-appropriate size
1,Test structure materials,General Project,6-8 group sets,Craft supplies,Standardize materials
1,Real pipes for comparison,General Project,2-3 examples each,Hardware samples,Check for sharp edges
1,Engineering drawings,General Project,5-6 examples,Technical resources,Age-appropriate complexity
1,Ancient astronomical tools,General Project,1-2 examples,Science museums,Emphasize practical applications
1,Modern mathematical examples,General Project,Visual examples,Math resources,Connect ancient to current
1,Mars environment data,General Project,1 per group,NASA resources,Focus on constraints
1,Design materials,General Project,Group supplies,Classroom supplies,Adequate for iteration
1,Modern technology examples,General Project,Image collection,Technology websites,Emphasize geometry
1,Sustainable development visuals,General Project,Infographics,Environmental resources,Connect to global challenges
