Grade,Week,Deity,Element,Artifact_Category,Artifact_Name,Quantity,Estimated_Cost,Storage_Requirements,Safety_Notes
4,1,Shamash,Circle,STEM_History,Large drawing of Shamash's sun disk symbol,1 display,$15-25,Wall space,None
4,1,Shamash,Circle,STEM_History,Images of ancient Mesopotamian sun disk symbols,5-6 examples,$20-30,File storage,None
4,1,Shamash,Circle,STEM_History,Simple compass for drawing circles,1 large,$10-15,Tool storage,Supervise point usage
4,1,Shamash,Circle,Invention,Various circular objects for measurement,20 total,$30-50,Bin storage,Clean safe objects
4,1,Shamash,Circle,Invention,String rulers paper circles,30 sets,$40-60,Multiple bins,None
4,1,Shamash,Circle,Invention,Chairs or markers for arrangement,8-10 items,$0-20,Existing furniture,Safe movement space
4,1,Shamash,Circle,General,Images of circular vs non-circular sharing,Collection,$10-20,Digital/print,None
4,1,Shamash,Circle,General,Rope or tape for floor circles,25-30 feet,$15-25,Coiled storage,Non-slip removable
4,1,Shamash,Circle,General,Measuring tape for full-scale testing,2-3 tapes,$30-45,Tool storage,Retractable preferred
4,1,Shamash,Circle,General,Calculators for area comparisons,8-10 units,$80-120,Secure storage,Basic functions
4,2,Sin,Crescent,STEM_History,Moon phase demonstration materials,Model set,$25-35,Shelf storage,None
4,2,Sin,Crescent,STEM_History,Ancient Mesopotamian calendar systems,Examples,$15-25,File storage,None
4,2,Sin,Crescent,STEM_History,Images of Sin and crescent symbolism,Collection,$20-30,Digital/print,None
4,2,Sin,Crescent,Invention,Overlapping circles for crescent construction,Multiple sets,$20-30,Flat storage,None
4,2,Sin,Crescent,Invention,Moon phase models showing progression,Demonstration,$30-40,Shelf storage,None
4,2,Sin,Crescent,Invention,Lunar calendar templates,30 copies,$10-15,File storage,None
4,2,Sin,Crescent,General,Materials for cyclical system modeling,Construction set,$40-60,Bin storage,None
4,2,Sin,Crescent,General,Timer and measurement tools,2-3 units,$20-30,Tool storage,None
4,2,Sin,Crescent,General,Examples of modern cyclical tracking,Collection,$15-25,Digital/print,None
4,3,Ishtar,8-Point Star,STEM_History,Ancient 8-point star navigation tools,Replicas/images,$25-35,Display storage,None
4,3,Ishtar,8-Point Star,STEM_History,Ishtar temple and city connection maps,Map collection,$20-30,File storage,None
4,3,Ishtar,8-Point Star,STEM_History,Venus observation records,Historical examples,$15-25,File storage,None
4,3,Ishtar,8-Point Star,Invention,Compasses and protractors for construction,30 sets,$60-90,Tool storage,Supervise compass use
4,3,Ishtar,8-Point Star,Invention,String and measuring tools for patterns,Multiple sets,$30-45,Bin storage,None
4,3,Ishtar,8-Point Star,Invention,Student compasses for navigation,30 units,$45-65,Tool storage,Age-appropriate design
4,3,Ishtar,8-Point Star,General,School floor plan for network design,Maps,$5-10,File storage,None
4,3,Ishtar,8-Point Star,General,Network modeling materials,Construction set,$35-50,Bin storage,None
4,3,Ishtar,8-Point Star,General,Examples of modern hub-and-spoke systems,Collection,$20-30,Digital/print,None
4,4,Adad,Lightning Bolt,STEM_History,Ancient zigzag engineering examples,Images/replicas,$25-35,Display storage,None
4,4,Adad,Lightning Bolt,STEM_History,Examples of zigzag patterns in nature,Photo collection,$15-25,Digital/print,None
4,4,Adad,Lightning Bolt,STEM_History,Audio recordings of thunder,Sound files,$5-10,Digital storage,Volume appropriate
4,4,Adad,Lightning Bolt,Invention,Springs and flexible materials,Testing set,$35-50,Bin storage,Check for sharp edges
4,4,Adad,Lightning Bolt,Invention,Slinky springs for wave demonstration,3-4 units,$30-40,Shelf storage,Supervise use
4,4,Adad,Lightning Bolt,Invention,Water flow materials for testing,Channel set,$40-60,Bin storage,Waterproof storage
4,4,Adad,Lightning Bolt,General,Materials for impact testing,Variety pack,$45-65,Bin storage,Safety testing required
