image_id,section,slide,time_range,category,title,description,teaching_use
image:98,1,2,1:30-3:30,Geography,Tigris-Euphrates River System Map,Map showing fertile crescent and river geography,"Establish geographic foundation, explain irrigation challenges"
image:104,1,2,1:30-3:30,Geography,Mesopotamia Regional Map,"Broader context showing Sumer, Akkad, Babylonia, Assyria",Show political boundaries and cultural regions
image:110,1,2,1:30-3:30,Geography,Historical Mesopotamia Territory,Political boundaries across different periods,Demonstrate civilization's geographic extent
image:146,1,3,3:30-6:00,Geography,Illustrated City Map,Shows major urban centers and trade routes,Visualize interconnected city-states and trade
image:83,2,4-5,6:00-11:30,Architecture,Ziggurat of Ur - Front View,Stepped pyramid showing mathematical proportions,"Discuss triangular profile, Pythagorean ratios"
image:89,2,4-5,6:00-11:30,Architecture,Ziggurat of Ur - Aerial,Reveals rectangular base and geometric planning,Show tier proportions and geometric progression
image:95,2,4,6:00-9:00,Architecture,Ziggurat Detail,Brick construction and geometric precision,Examine standardized brick modular construction
image:85,2,6,11:30-14:30,Architecture,Ishtar Gate Reconstruction,Blue glazed brick with rosette patterns,Discuss color symbolism and geometric patterns
image:91,2,6,11:30-14:30,Architecture,Ishtar Gate Detail,Geometric patterns and Mushhushshu dragon,Analyze rosette symmetry and animal reliefs
image:135,2,8,16:30-18:00,Architecture,Babylon 3D City Model,Comprehensive urban planning visualization,Demonstrate city layout and geometric organization
image:141,2,8,16:30-18:00,Architecture,Babylon Aerial View,Processional way and architectural alignment,Show ritual pathways and cardinal alignments
image:139,2,7,14:30-16:30,Architecture,White Temple Reconstruction,Elevated platform and geometric temple design,Explain tripartite floor plan structure
image:145,2,7,14:30-16:30,Architecture,Temple Complex Drawing,Reveals tripartite floor plan clearly,Teach cosmic three-part division concept
image:150,2,7,14:30-16:30,Architecture,Temple Architecture Evolution,Comparative geometric styles across periods,Show architectural development over time
image:117,3,9,18:00-21:00,Patterns,Ishtar Gate Rosettes,Six-pointed repetitive patterns,Teach 6-fold symmetry and base-60 connection
image:123,3,9,18:00-21:00,Patterns,Temple Rosette Decoration,Geometric flower patterns in architecture,Show architectural application of rosettes
image:129,3,9,18:00-21:00,Patterns,Rosette Design Evolution,Various styles showing mathematical symmetry,Compare different rosette constructions
